,Unnamed: 0,user_id,about,num_revs
48,221,4292244,"
                                            England,                                            Male,                                            25-30                                        ",5
49,222,3319407,"
                                            Australia,                                                                                                                                ",2
50,223,2634274,"
                                            USA,                                                                                                                                ",1
51,224,4564123,"
                                            USA,                                                                                                                                ",1
52,225,4501636,"
                                            USA,                                            SOLO,                                            THIRTYONETOFOURTY                                        ",5
53,226,4995420,"
                                            Australia,                                                                                                                                ",1
54,227,4268821,"
                                            England,                                                                                                                                ",1
55,228,3902182,"
                                            Australia,                                                                                                                                ",2
56,229,2704501,"
                                            USA,                                                                                                                                ",2
57,230,2983676,"
                                            Colombia,                                                                                                                                ",1
58,231,4074739,"
                                            England,                                                                                                                                ",1
59,232,3406838,"
                                            Hong Kong,                                            Female,                                            31-40                                        ",8
60,239,1004454,"
                                            Canada,                                                                                                                                ",1
61,241,4541662,"
                                            USA,                                                                                                                                ",1
62,243,4870404,"
                                            USA,                                                                                                                                ",1
63,244,1247650,"
                                            England,                                                                                                                                ",6
64,246,4856666,"
                                            Australia,                                                                                                                                ",1
65,247,2964488,"
                                            USA,                                                                                                                                ",2
66,250,2871912,"
                                            Canada,                                                                                                                                ",3
67,251,1763758,"
                                            Ireland,                                                                                                                                ",2
68,252,2750584,"
                                            Brazil,                                                                                                                                ",1
69,253,3112654,"
                                            England,                                                                                                                                ",1
70,255,4448488,"
                                            Australia,                                                                                                                                ",1
71,256,2866615,"
                                            Hong Kong,                                            Female,                                            25-30                                        ",3
72,258,1492648,"
                                            USA,                                            SOLO,                                            FOURTYONEPLUS                                        ",2
73,259,2775674,"
                                            Germany,                                                                                                                                ",2
74,260,1648314,"
                                            USA,                                                                                                                                ",1
75,261,2208939,"
                                            Canada,                                                                                                                                ",1
76,263,4283001,"
                                            Italy,                                            Male,                                            25-30                                        ",12
77,265,2008180,"
                                            USA,                                                                                                                                ",1
78,266,2529278,"
                                            Finland,                                                                                                                                ",4
79,269,4055366,"
                                            Ireland,                                                                                                                                ",1
80,271,2671188,"
                                            Canada,                                            Couple,                                            25-30                                        ",2
81,272,3771679,"
                                            USA,                                                                                                                                ",1
82,273,2999088,"
                                            Canada,                                                                                                                                ",6
83,274,1600202,"
                                            New Zealand,                                                                                                                                ",2
84,275,3718769,"
                                            Germany,                                            Mixed Group,                                            18-24                                        ",4
85,276,4032426,"
                                            Australia,                                                                                                                                ",1
86,277,4150341,"
                                            England,                                                                                                                                ",1
87,278,2980787,"
                                            South Africa,                                                                                                                                ",2
88,279,4066204,"
                                            Brazil,                                                                                                                                ",3
89,281,1188816,"
                                            Germany,                                                                                                                                ",1
90,285,3931954,"
                                            Malaysia,                                                                                                                                ",1
91,286,2912458,"
                                            Finland,                                                                                                                                ",2
92,287,4978960,"
                                            Canada,                                                                                                                                ",4
93,290,3973186,"
                                            France,                                                                                                                                ",2
94,294,4032709,"
                                            Spain,                                                                                                                                ",2
95,295,4723940,"
                                            USA,                                                                                                                                ",1
96,296,2939856,"
                                            USA,                                                                                                                                ",6
97,297,3949794,"
                                            Australia,                                                                                                                                ",2
98,298,1440919,"
                                            USA,                                                                                                                                ",1
99,299,3486844,"
                                            USA,                                                                                                                                ",1
100,300,2802563,"
                                            USA,                                                                                                                                ",1
101,301,3356609,"
                                            Germany,                                            Female,                                            31-40                                        ",2
102,305,3874508,"
                                            Iraq,                                                                                                                                ",1
103,306,4564542,"
                                            Australia,                                            Mixed Group,                                            25-30                                        ",6
104,307,2898520,"
                                            Hungary,                                                                                                                                ",1
105,308,2441392,"
                                            Italy,                                                                                                                                ",1
106,309,4605168,"
                                            Norway,                                                                                                                                ",1
107,312,2099132,"
                                            Ireland,                                                                                                                                ",1
108,314,2395029,"
                                            USA,                                                                                                                                ",2
109,317,2173814,"
                                            Australia,                                                                                                                                ",1
110,318,3992047,"
                                            USA,                                                                                                                                ",2
111,320,4448688,"
                                            India,                                                                                                                                ",1
112,321,4705856,"
                                            Finland,                                                                                                                                ",1
113,325,2152328,"
                                            France,                                            Male,                                            31-40                                        ",1
114,326,1397437,"
                                            USA,                                                                                                                                ",1
115,327,4222767,"
                                            Belgium,                                            INALLFEMALEGROUP,                                            THIRTYONETOFOURTY                                        ",2
116,330,1678670,"
                                            USA,                                                                                                                                ",1
117,333,4474538,"
                                            England,                                                                                                                                ",2
118,335,4050308,"
                                            Australia,                                                                                                                                ",2
119,336,4514830,"
                                            Belgium,                                            Female,                                            41+                                        ",3
120,337,3858293,"
                                            England,                                                                                                                                ",1
121,338,4555927,"
                                            England,                                                                                                                                ",1
122,339,2701462,"
                                            Japan,                                                                                                                                ",1
123,340,3365980,"
                                            USA,                                                                                                                                ",1
124,341,3851597,"
                                            China,                                                                                                                                ",1
125,342,4207197,"
                                            Netherlands,                                                                                                                                ",1
126,344,2937612,"
                                            Hong Kong,                                                                                                                                ",5
127,345,4410257,"
                                            USA,                                                                                                                                ",1
128,347,4063025,"
                                            India,                                                                                                                                ",2
129,350,3699300,"
                                            Spain,                                            Male,                                            25-30                                        ",9
130,351,1650130,"
                                            Netherlands,                                                                                                                                ",1
131,352,4106206,"
                                            Lithuania,                                                                                                                                ",9
132,353,3145038,"
                                            Denmark,                                                                                                                                ",2
133,355,3902823,"
                                            Australia,                                                                                                                                ",9
134,356,3743677,"
                                            Sweden,                                                                                                                                ",1
135,360,1593084,"
                                            Netherlands,                                                                                                                                ",1
136,362,4841689,"
                                            Italy,                                                                                                                                ",2
137,364,4049397,"
                                            USA,                                                                                                                                ",2
138,366,3390296,"
                                            Canada,                                                                                                                                ",1
139,367,3731890,"
                                            USA,                                                                                                                                ",4
140,368,3179488,"
                                            USA,                                                                                                                                ",1
141,370,2875493,"
                                            Sweden,                                                                                                                                ",2
142,371,2136853,"
                                            England,                                                                                                                                ",1
143,372,2841539,"
                                            USA,                                                                                                                                ",2
144,374,3397602,"
                                            Australia,                                            Female,                                            25-30                                        ",1
145,376,3375363,"
                                            Germany,                                            INALLFEMALEGROUP,                                            1                                        ",5
146,378,2211562,"
                                            Germany,                                            Male,                                            41+                                        ",2
147,379,4578324,"
                                            Ireland,                                            Female,                                            31-40                                        ",1
148,383,2504398,"
                                            Brazil,                                                                                                                                ",2
149,384,3649773,"
                                            USA,                                                                                                                                ",1
150,385,4722655,"
                                            Czech Republic,                                                                                                                                ",2
151,387,1154992,"
                                            Slovenia,                                                                                                                                ",1
152,388,1156696,"
                                            USA,                                                                                                                                ",2
153,390,3122368,"
                                            Netherlands,                                                                                                                                ",6
154,392,2345416,"
                                            France,                                                                                                                                ",1
155,395,2379402,"
                                            Switzerland,                                                                                                                                ",1
156,396,2559979,"
                                            Ireland,                                                                                                                                ",1
157,398,4022873,"
                                            England,                                                                                                                                ",1
158,400,3684507,"
                                            France,                                                                                                                                ",1
159,401,2444638,"
                                            Australia,                                            Male,                                            41+                                        ",10
160,402,1231624,"
                                            Hong Kong,                                                                                                                                ",1
161,403,1521232,"
                                            France,                                                                                                                                ",2
162,404,4073989,"
                                            Germany,                                                                                                                                ",1
163,405,3508814,"
                                            South Korea,                                                                                                                                ",1
164,406,4984148,"
                                            Hong Kong,                                                                                                                                ",9
165,407,2712154,"
                                            England,                                                                                                                                ",1
166,409,1696890,"
                                            France,                                                                                                                                ",1
167,410,4350529,"
                                            UK,                                            Female,                                            25-30                                        ",4
168,411,3326590,"
                                            Spain,                                            INACOUPLE,                                            1                                        ",3
169,413,1932600,"
                                            Australia,                                                                                                                                ",4
170,414,1735214,"
                                            USA,                                                                                                                                ",1
171,415,4520862,"
                                            Canada,                                                                                                                                ",3
172,416,2890236,"
                                            Australia,                                                                                                                                ",4
173,417,2544190,"
                                            England,                                                                                                                                ",2
174,418,4369699,"
                                            Australia,                                            Female,                                            31-40                                        ",1
175,419,2349422,"
                                            Australia,                                            Female,                                            41+                                        ",7
176,420,3194579,"
                                            Germany,                                                                                                                                ",1
177,422,1134916,"
                                            Trinidad And Tobago,                                                                                                                                ",1
178,424,4625408,"
                                            Canada,                                                                                                                                ",1
179,425,4927852,"
                                            Hong Kong,                                                                                                                                ",5
180,426,1424242,"
                                            USA,                                                                                                                                ",1
181,427,2246722,"
                                            Australia,                                                                                                                                ",3
182,428,3654099,"
                                            Spain,                                                                                                                                ",3
183,429,2499359,"
                                            USA,                                                                                                                                ",1
184,432,3451464,"
                                            England,                                                                                                                                ",4
185,433,1459219,"
                                            Germany,                                            Couple,                                            25-30                                        ",1
186,434,4600639,"
                                            Denmark,                                            Female,                                            41+                                        ",5
187,435,3427336,"
                                            Germany,                                            Male,                                            31-40                                        ",2
188,436,2572637,"
                                            Thailand,                                                                                                                                ",9
189,437,2865280,"
                                            Australia,                                            INACOUPLE,                                            TWENTYFIVETOTHIRTY                                        ",5
190,438,1331211,"
                                            England,                                                                                                                                ",1
191,439,3523061,"
                                            Australia,                                                                                                                                ",3
192,440,4741135,"
                                            France,                                            Male,                                            25-30                                        ",2
193,441,4946295,"
                                            Ireland,                                                                                                                                ",1
194,444,1774559,"
                                            Spain,                                                                                                                                ",3
195,446,4310561,"
                                            Canada,                                                                                                                                ",4
196,447,3816506,"
                                            USA,                                                                                                                                ",6
197,448,4268087,"
                                            Denmark,                                                                                                                                ",1
198,450,3707856,"
                                            USA,                                                                                                                                ",1
199,451,1715538,"
                                            USA,                                                                                                                                ",1
200,452,3165437,"
                                            USA,                                                                                                                                ",1
201,453,3903308,"
                                            Canada,                                                                                                                                ",5
202,454,1940093,"
                                            Canada,                                                                                                                                ",2
203,455,4604699,"
                                            England,                                                                                                                                ",1
204,456,1828074,"
                                            Denmark,                                                                                                                                ",1
205,457,1705493,"
                                            Canada,                                                                                                                                ",1
206,458,1383965,"
                                            Ireland,                                                                                                                                ",1
207,460,4156283,"
                                            USA,                                                                                                                                ",1
208,462,2900872,"
                                            Germany,                                                                                                                                ",1
209,463,2469946,"
                                            Australia,                                                                                                                                ",2
210,465,2789662,"
                                            USA,                                                                                                                                ",1
211,466,4839697,"
                                            Germany,                                            Mixed Group,                                            25-30                                        ",2
212,467,3053634,"
                                            France,                                                                                                                                ",2
213,468,3665610,"
                                            England,                                                                                                                                ",1
214,469,4899056,"
                                            Indonesia,                                                                                                                                ",1
215,470,1216729,"
                                            Canada,                                            SOLO,                                            THIRTYONETOFOURTY                                        ",4
216,473,2420514,"
                                            Scotland,                                                                                                                                ",1
217,475,2596125,"
                                            USA,                                            Female,                                            41+                                        ",11
218,476,3530596,"
                                            Australia,                                                                                                                                ",1
219,478,4351659,"
                                            England,                                                                                                                                ",2
220,480,4380547,"
                                            Germany,                                                                                                                                ",1
221,481,3602879,"
                                            Czech Republic,                                                                                                                                ",1
